Date,Open,High,Low,Close,Adj Close,Volume
2020-10-19,10.140000,10.205000,9.920000,9.930000,9.910515,972500
2020-10-20,10.070000,10.395000,10.005000,10.230000,10.209925,1479400
2020-10-21,10.230000,10.420000,10.090000,10.400000,10.379592,1663900
2020-10-22,10.430000,10.810000,10.400000,10.800000,10.778808,1191100
2020-10-23,10.850000,10.995000,10.815000,10.880000,10.858650,1522800
2020-10-26,10.700000,10.750000,10.190000,10.450000,10.429493,2005300
2020-10-27,10.390000,10.440000,9.970000,9.970000,9.950436,986500
2020-10-28,9.720000,9.905000,9.555000,9.780000,9.760808,2288400
2020-10-29,9.710000,10.190000,9.660000,10.110000,10.090160,1232000
2020-10-30,10.150000,10.300000,9.665000,9.900000,9.880572,4237700
2020-11-02,10.020000,10.230000,9.715000,10.190000,10.170004,2555700
2020-11-03,10.360000,10.800000,10.295000,10.770000,10.748865,2048800
2020-11-04,10.680000,10.715000,10.220000,10.650000,10.629101,2407700
2020-11-05,10.650000,11.050000,10.590000,10.950000,10.928513,2252800
2020-11-06,11.070000,11.170000,10.690000,10.760000,10.738885,2323500
2020-11-09,11.500000,13.340000,11.410000,12.060000,12.036335,7803600
2020-11-10,12.050000,12.480000,12.040000,12.360000,12.335746,4546000
2020-11-11,12.350000,12.400000,11.890000,12.040000,12.016374,3235300
2020-11-12,11.810000,11.810000,11.395000,11.480000,11.457472,3920600
2020-11-13,11.700000,12.460000,11.670000,12.370000,12.345726,2878200
2020-11-16,12.890000,13.214000,12.670000,12.930000,12.904627,2800500
2020-11-17,12.650000,13.140000,12.530000,13.000000,12.974489,2211400
2020-11-18,13.010000,13.100000,12.830000,12.870000,12.844745,2112600
2020-11-19,12.780000,12.990000,12.640000,12.900000,12.874686,2099300
2020-11-20,12.850000,12.870000,12.620000,12.770000,12.744942,1972000
2020-11-23,12.870000,13.080000,12.720000,12.770000,12.744942,2598600
2020-11-24,13.040000,13.290000,12.980000,13.170000,13.144156,3531600
2020-11-25,13.090000,13.430000,12.910000,13.420000,13.393665,2443900
2020-11-27,13.330000,13.540000,13.300000,13.370000,13.343764,1015200
2020-11-30,13.340000,13.465000,13.150000,13.260000,13.233979,4263100
2020-12-01,13.490000,13.810000,13.450000,13.660000,13.633194,3700600
2020-12-02,13.360000,13.435000,13.000000,13.060000,13.034372,3226800
2020-12-03,13.050000,13.330000,12.930000,13.000000,12.974489,2021500
2020-12-04,13.200000,13.450000,13.000000,13.280000,13.253941,3153900
2020-12-07,13.340000,13.340000,12.690000,12.690000,12.665098,2301500
2020-12-08,12.570000,12.980000,12.550000,12.880000,12.854726,1977300
2020-12-09,12.990000,13.280000,12.880000,13.130000,13.104235,3815400
2020-12-10,12.940000,13.170000,12.820000,13.070000,13.044353,2010500
2020-12-11,13.010000,13.130000,12.905000,13.060000,13.034372,1728000
2020-12-14,13.200000,13.280000,12.730000,12.730000,12.705019,1741700
2020-12-15,12.840000,13.410000,12.750000,13.410000,13.383685,1471900
2020-12-16,13.400000,13.600000,13.270000,13.370000,13.343764,1805700
2020-12-17,13.360000,13.360000,12.975000,13.070000,13.044353,1617200
2020-12-18,13.000000,13.080000,12.850000,12.920000,12.894647,2622300
2020-12-21,12.630000,12.990000,12.420000,12.930000,12.904627,2767700
2020-12-22,12.930000,12.950000,12.650000,12.750000,12.724981,945900
2020-12-23,12.880000,13.150000,12.830000,13.000000,12.974489,1134600
2020-12-24,13.070000,13.190000,12.960000,13.180000,13.154137,1219600
2020-12-28,13.230000,13.420000,13.130000,13.240000,13.214019,1474100
2020-12-29,13.250000,13.280000,13.000000,13.080000,13.054333,1472700
2020-12-30,13.010000,13.250000,12.910000,12.990000,12.964509,1065800
2020-12-31,12.940000,13.080000,12.710000,12.910000,12.884666,1391800
2021-01-04,12.930000,13.040000,12.500000,12.550000,12.525373,2547200
